humidity,rainfall_24hr,rainfall_3days,soil_moisture,elevation,typeof_disaster
81.1,73.0,90.3,50.8,2468.0,Safe
96.1,243.3,386.3,99.7,777.0,Landslide
47.5,36.8,3.6,20.2,448.0,Safe
60.6,60.6,62.6,22.9,1701.0,Safe
47.0,72.8,83.9,30.5,140.0,Safe
35.8,11.1,100.8,60.8,1713.0,Safe
92.7,239.8,777.1,94.3,1254.0,Landslide
95.6,428.4,494.7,90.8,141.0,Flood
68.0,3.6,67.5,70.3,609.0,Safe
96.7,223.2,272.9,90.5,71.0,Flood
53.8,0.6,67.6,34.8,1974.0,Safe
67.3,77.3,98.9,43.5,1935.0,Safe
97.1,178.0,672.6,96.1,1124.0,Landslide
55.4,0.0,21.4,70.1,2385.0,Safe
39.8,32.9,56.8,56.0,616.0,Safe
56.2,36.0,112.0,71.8,2587.0,Safe
46.7,75.1,21.6,25.5,132.0,Safe
43.1,37.9,73.4,38.3,1277.0,Safe
58.8,21.2,7.5,47.4,1650.0,Safe
99.9,412.5,604.1,86.2,46.0,Cyclone
14.5,0.0,0.0,0.6,359.0,Drought
62.7,32.7,1.5,66.5,1673.0,Safe
71.6,47.2,54.5,46.8,1651.0,Safe
93.4,219.6,427.1,96.9,32.0,Flood
67.4,78.0,83.0,30.9,1773.0,Safe
71.3,61.1,85.1,28.9,2838.0,Safe
55.0,56.0,53.2,24.0,2620.0,Safe
99.3,272.5,337.1,99.2,15.0,Flood
72.2,33.6,11.3,30.7,2016.0,Safe
93.5,418.9,402.9,85.0,37.0,Flood
92.9,236.7,370.7,99.5,175.0,Flood
94.7,228.2,524.4,94.3,1307.0,Landslide
53.0,43.7,74.3,35.7,836.0,Safe
98.4,214.8,710.7,96.8,1986.0,Landslide
59.6,17.7,98.3,43.8,582.0,Safe
79.3,13.6,99.5,26.3,1539.0,Safe
70.9,71.8,45.3,46.5,2630.0,Safe
80.2,51.9,23.5,43.1,743.0,Safe
39.0,75.5,64.2,32.1,1848.0,Safe
96.7,421.7,458.0,87.7,24.0,Cyclone
94.6,121.3,776.3,94.9,1431.0,Landslide
78.0,22.1,33.4,26.7,2081.0,Safe
38.7,17.4,41.7,27.2,2155.0,Safe
97.4,119.7,618.0,91.5,1459.0,Landslide
